Author,Comment,Timestamp
@sedah4562,Great video and methodology but I think my method might be simpler. I just don’t care about most strangers. lol. It may not make sense but it works.,2025-01-07T19:48:34Z
@plainmom2,This was very encouraging THANK YOU,2025-01-07T18:39:15Z
@cherifaomari449,Ohhhh this presentation is really helpful 🤍🤍🤍🤍✨,2025-01-06T19:01:04Z
@rishithakur3423,He lied its 17:37 not 18:00 minutes,2025-01-06T18:20:26Z
@JaelzEllie,I needed this❤,2025-01-06T18:14:40Z
@jedipat_419,I appreciate that man and admit I judged him at first. That's a great lesson and I'm thankful.,2025-01-06T16:41:54Z
@shaleendhiman,great thoughts❤,2025-01-06T03:38:43Z
@koyalbasuu,amazing!!!,2025-01-04T14:33:49Z
@nazaninnikpeyma7357,"Hello.
I liked this lecture, because it gave me some important tips that I am sure these are practical and efficient in my life 🙏🌿",2025-01-04T08:08:28Z
@FatimaElHaj,❤❤❤❤,2025-01-03T18:22:28Z
@shivanigangasani9395,I think i have this kind of sence in me from when i am very small. To think about others perspective. Now when i think back i feel like i have avoided so many situations.,2025-01-03T17:34:52Z
@minium_realgar_orpiment_6789,The most beautiful video ever made.❤,2025-01-03T07:06:43Z
@kait7118,"Just to be clear, if you’re going 40mph (~64kmh) in the fast lane on the highway and I’m flashing my lights behind, it is about you.",2025-01-03T04:56:51Z
@LNC44,"1. It's not about me
2. It is about me",2025-01-03T02:34:03Z
@kirtisingh44445,God plzz manifest my dreams...I want to go tedx ❤❤....plzz universe give me a little thing I mean which is small stuff for uhhh✨️✨️,2025-01-03T01:48:14Z
@meenakutty7798,It was really a wonderful session sir,2025-01-02T15:27:11Z
@rajdebntz2959,Who's watching in 2025🎉,2025-01-02T11:48:42Z
@mdsabbirahmed1253,Best one...👍,2025-01-02T07:22:25Z
@ii78hgh,😊❤😊,2025-01-02T03:18:07Z
@Marymeenu,"@frederikimbo i am watching this for the frst tym.. Thank you so much for these words.. it helped a lot.. if mind is clear, we can do things confidently..",2025-01-01T15:10:48Z
@carolwama979,i wish i were taught this in school!watching from china,2025-01-01T09:03:57Z
@harshkanojiya4786,One of the best sessions ❤️,2025-01-01T03:27:51Z
@b-dub6865,What is that ringing noise in the video??,2025-01-01T02:06:51Z
@thevisuals123,Please like this so that i can listen it again,2024-12-31T12:56:24Z
@lhostlhostly,gained a supporter Mr. Imbo 17:21,2024-12-31T10:11:30Z
@naditaebony3538,"I don't think I have 50k thoughts per day. Am I a dummy? Afterall, I won't take this personally😮",2024-12-31T07:13:47Z
@anujitmaity0722,❤ my heart went heavy,2024-12-30T16:02:31Z
@timminipray18,"When it comes to being right… That doesn’t matter to me, I just care about telling the truth",2024-12-30T14:39:31Z
@LunaNassar-t1m,The end was affecting me so much❤❤,2024-12-30T11:00:36Z
@Jibrilfauziyya,"I loved every bit of this video, thank you so much 💜",2024-12-30T08:32:51Z
@ayeshaashraf8820,YouTube suggested me this 😅 kinda personal attack,2024-12-30T06:52:43Z
@ashritpatel3441,I think the audience took it personally and decided to be quiet.,2024-12-29T16:14:14Z
@Balor480,I don't take this video personally,2024-12-29T06:00:40Z
@alexgetiton,Somebody sent this to MJ and he took it personally,2024-12-28T19:27:45Z
@igotdembombs,One of the worst ted talks to date. Extremely repetitive.,2024-12-28T18:39:09Z
@MIDENAIRE,"As someone who's trying to master the act of not taking things personally 
This video is extremely helpful 
I'll watch this over and over again until I digest all there is ❤🎉",2024-12-28T17:18:57Z
@aryandhawan6675,Thank you sir ❤,2024-12-28T14:38:34Z
@simran1852,and i took that personally,2024-12-27T10:47:33Z
@daughterofthemosthigh3588,This came up on my recommended after hubby and I were talking about how I take things personally lol,2024-12-26T19:52:16Z
@Phil-s4u,If its gnna be exactly 18:00 minutes why is the video 17:36? Lets stay tuned to find out........,2024-12-26T17:57:30Z
@Morshed-u7f,Relax come and cool.,2024-12-26T16:38:51Z
@midyebaba,"Aq kurtce bile altyazi var, Türkçe yok. Sizin ben zurriyetinizi sikim.",2024-12-26T09:28:06Z
@priyanka2422,People take so much personally and gradually turn to your enemy and make their mission to start tearing you down this is  so much happen in corporate and there corporate politics will take place right away and take your mental peace away day by day by the people of corporate and now mission completed finally you’re out of the company trust me I have been there with sick people and I believe they will end up painfully in their life  and they always stay insecure with every thing such poor people.,2024-12-25T14:07:41Z
@Ahmedoooba2,cz is still 20 euro,2024-12-25T07:57:12Z
@rizwanuet5735,Don't take it personally. You look like kevin de bruyne on the field 😂,2024-12-25T07:25:50Z
@RioHasibuan-d2y,How 🤣🤣🤣,2024-12-25T04:22:27Z
@gail9289,Excellent. Learned so much.,2024-12-24T00:01:44Z
@PositiveZ7,Excellent talk,2024-12-23T20:13:32Z
@Nothigbuttruth,"Trying to go from ""me to we"" is exhausting when you have people around you that dont mirror your behavior.
Its a destructive behavior, when you let go of your ego and fall into this trap.
I dont take things personally , i let go...  for sure i decide if a person did me wrong and move on with my life.
We can respond and not react, we can improve,  but remember always to put healthy barriers when you are abuse, its not about ego! 
Have clarity of what dont want and what you dont want,surround you with friends that really loves you and appreciate you, partnership where respect and love is in flow!",2024-12-23T11:29:37Z
@mirmustaffa1208,Fabulous,2024-12-23T09:31:35Z
@JPolsma,Do you take the constant beep personal?,2024-12-23T08:49:57Z
@farabi-faru,"I sent it to mom, i since morning i didn't eat something",2024-12-23T05:09:49Z
@charchika4175,I am saving this video to show to my children in their teenage. (I'm unmarried and an indian),2024-12-22T16:28:38Z
@priyadarshiniraval3872,The beeb sound in background is bit disturbing but don't take it personally!,2024-12-22T16:09:27Z
@aditi_5-9,Ty sir,2024-12-22T15:51:18Z
@1stbadgamer389,When people have bad or negative intentions then what do you do even if it’s not specifically about you? It’s still personally hurting you and loved ones but the intentions of the other person weren’t about you yet were still extremely bad. Then what?,2024-12-22T08:22:31Z
@dominiquegomez2963,"I still don't understand. If someone I love does something selfish instead of being a friend, parent, etc how does communicating my feelings make it not personal?",2024-12-22T07:40:03Z
@shahzaibqureshi4408,Really... Just stop giving a phuck,2024-12-21T23:48:38Z
@DrAlexisM,"There are two main aspects that cause us to frequently take things too personally.

Firstly, children adverse experiences/ trauma/ emotional neglect/ invalidation.

And, secondly:

Having the gene for hypersensitivity. Around 1/4 of us have it.",2024-12-21T18:47:35Z
@a_peace_loving_man4953,This is a life changing Ted talk. Applying this even 1 percent is going to have a positive outcome. Thank you Sir❤,2024-12-21T18:15:39Z
@shubhamchauhan4033,Middle way ❤❤,2024-12-21T15:36:05Z
@rebecca_stone,"It's a nice talk and nice takeaways... life isn't always this simple for all of us though, and it depends how neglected you were in childhood, whether you learned core emotional skills. In some situations you can't afford not to take things personally. How else can you draw boundaries if you don't? I speak as someone who is only learning how to tell what's OK behaviour and what isn't... in my 40s. Not taking things personally meant I stayed in a DV relationship for years longer than I should have. But it's also relevant in other situations, eg if you have an abusive boss, or a friend who doesn't respect you.",2024-12-21T14:57:45Z
@starfish258852,I loved this video,2024-12-20T17:00:19Z
@OfficialPranay007,"“People may attack you, criticize you or ignore you, they can crumple you with their words , spit on you or walk all over you, but remember whatever they do or say you will always keep your value” - A Referee",2024-12-20T09:35:05Z
@haiyen10993,"WOW! This speech really touched me. I watched from the beginning to the end and I also took some notes that I considered valuable. It is undeniable that the last sentence really hurt, and of course, I cried: Whatever they do or say, You will always KEEP YOUR VALUE! Thanks so much! Sir Frederik Imbo!",2024-12-20T04:24:01Z
@ajaydubey5875,The last part is amazing!!! 👏,2024-12-19T15:57:07Z
@MansoorAli-u1d,"Life lesson, And the last 2 minutes explains it all in just a moment
Thank you",2024-12-19T13:54:20Z
@krrristinarius,"Unfortunately, there's some kind of annoying sound in the background 😢 maybe you can reload the video? Would really love to watch it",2024-12-19T12:57:44Z
@RohitReverie,Like this comment so I can remember not to take things personally.,2024-12-19T09:06:52Z
@Vistavibes.playmusic,But always thinking about others positive side is not possible it's really not possible,2024-12-19T04:28:59Z
@jbmar-jx7uv,"i felt like he cldv done this in half the time, repetitive for sure",2024-12-18T19:48:23Z
@Animation_Station_Hub,"By now I will try not to take things personally, because it is worthless. 💯",2024-12-18T18:26:33Z
@aryakrac8717,🎉🎉❤❤❤❤❤❤,2024-12-18T16:22:26Z
@longvietng04,"Just a random recommendation from YouTube, but it comes in time to remind me: ""Don't take it personally!"". 
Look at him, his expression when presenting and the act of chewing the money to illustrate his point. An awesome talk ever!",2024-12-18T02:21:25Z
@tiyasharoy742,Dull audience,2024-12-17T20:40:27Z
@GODWINKAPIHYATV,Have learned a lot from this video. Mostly importantly by opening up with others about your concerns,2024-12-17T19:35:07Z
@GODWINKAPIHYATV,Great teaching thanks for sharing,2024-12-17T19:26:29Z
@ubaiiiiddd,WOW! Just Amazing how you explained everything. Has been very helpful,2024-12-17T15:47:12Z
@GODWINKAPIHYATV,Great teaching. Thanks for sharing,2024-12-17T13:19:56Z
@Rudeka11,Brilliant presentation.,2024-12-17T05:07:32Z
@e-queen3485,A very benifit episode 🙌,2024-12-16T22:48:57Z
@sajidamuhammad6013,"It's so beautifully presented that every word was clear and hit its points. I personally have always been a victim of this but gradually realized it's not anybody else but my enemy is myself so I decided to fight my own egos by letting things pass and giving a benefit of doubt to everything that does not work out your way!!!!! I feel I am in more tranquil and happy state than before, my health improved and so did my relationships.",2024-12-16T07:55:30Z
@brainrotime-ono,6:53 starts talking about the strategy,2024-12-16T06:59:13Z
@All_righty_,Super,2024-12-16T05:45:09Z
@zerone3644,yoooo i love it,2024-12-16T01:41:49Z
@MohammadYeasir-e8e,Anyone here 2024😊?,2024-12-15T17:10:22Z
@acmotivation1467,This is somehow essential for us for endorsement and to feel rejuvenated,2024-12-15T16:14:31Z
@mohtasimshahriarsami9270,Amazing....Felt relieved,2024-12-15T04:50:53Z
@fajarsatriatna6956,i think tin-tin is giving me solutions right now,2024-12-15T04:34:09Z
@jklme,"Thank you, Frederick Imbo for this amazing lesson! I really take things very personally, but after this video, after i learned about techniques i will try to not take things personally. Thank you!",2024-12-14T17:16:43Z
@sam_wanders,You are too good man,2024-12-14T16:47:40Z
@sam_wanders,Why is there a constant beep noise in the video,2024-12-14T16:34:03Z
@kmnaimahmed,praxis এর আবির স্যারের সাজেশন পাওয়ার পর দেখতে আসলাম 🙃👍,2024-12-14T04:32:39Z
@samuelfernandes327,What if they are indeed gossiping about you,2024-12-13T18:35:43Z
@MubangaMwanza-ir2kt,"""I will make sure I am happy by being right"" 😅lol",2024-12-13T18:31:42Z
@Carllucas197,Trying to watching this video but the high pitch ringing is making it very hard,2024-12-13T10:03:17Z
@ashiraamarit284,This changed my life! 🥹 Thank you thank you thank you sir ❤,2024-12-13T04:52:30Z
@santoshloni705,"Ego is false personality, throw it everything becomes easy",2024-12-13T02:37:51Z
@iberocksin,Oh God my anger it's helping,2024-12-12T18:42:49Z
@mondalbabu4507,"A year ago, I went to watch a football game in my village. There, the referee was being abused by a lot of bad language from the spectators on both sides, but he ignored them completely. I was amazed at his patience.",2024-12-12T18:20:40Z
@SAKIB_aka_SKB,"16:58
.",2024-12-12T16:26:58Z
@Queen_5471,"Try to understand other's person point of view (it's not about you it's about we) before getting angry or taking it personally, be positive. When they say something that hurts is about you and speak up without blaming them.",2024-12-12T16:13:56Z
@Aiman.butt1,That was really good 👍🏻,2024-12-12T14:51:00Z
@inokaswu2210,There is no audience 😂😂😂,2024-12-12T07:15:12Z
@MARTINJerien,I lean a lot today😇🥰,2024-12-11T16:05:23Z
@sajjadulgufran434,I want to thank the person who suggested this video to me. god bless him.,2024-12-11T15:02:45Z
@kimurapython121,"There's something about this talk that I really admire. It may the comforting tone he carries or the examples he uses but I couldn't stop cheesing the whole time. From the soccer coaching examples, to the bill example. This ted talk is just amazing",2024-12-11T13:43:38Z
@mikkelvilladsen6430,Its still 20 euro,2024-12-11T10:39:05Z
@saharbelhouchet,"Reallly i take it personnally okaaaay 🙂 
Ps: I'm calming myself to don't fight with childish person who makes me mental unstale but whatever youtoube recommend this to me 😢😂",2024-12-10T20:14:26Z
@aekyeong,"오만가지 생각이란 말이 진짜 50,000 가지였구먼…",2024-12-10T14:47:32Z
@ApellidoNombre-d2r,Estás despedido no reniegues,2024-12-10T09:17:11Z
@choyonsarker455,Very helpful for me.,2024-12-10T05:46:12Z
@MemorybooksbyPaola,I didn’t get it,2024-12-10T03:53:39Z
@Missfitmalveaux,"I love a good TED talk, one day I will give one.",2024-12-09T23:00:55Z
@rubensrubens3857,"Such an interesting talk, it really spoke to me so much💭🫂 who else??",2024-12-09T20:12:45Z
@ThelmaThais1,"a such important job like a football referee should be much better paid. that small wage is a disrespect, in my opinion",2024-12-09T18:46:53Z
@EngrSaad,Life changing 🥰,2024-12-09T16:00:35Z
@farhanishtiak819,They are mean and what else can I do not taking those personally?,2024-12-09T02:51:34Z
@smjadav,Not many actionables discussed in the video. Could have been better.,2024-12-09T00:52:34Z
@nabeeleshaque23,wow 🎉 beautiful and informative,2024-12-08T21:20:02Z
@r.a.r4800,❤❤❤,2024-12-08T18:36:37Z
@dhairyaaa_w,I needed this soo much!!  Please like so i can come back and listen it again n again,2024-12-08T16:04:18Z
@wisdomsfeast,never attribute to malice that which is adequately explained by stupidity,2024-12-08T10:34:36Z
@manasa7074,Much needed one ! Feeling so better after seeing this ☺️,2024-12-08T08:51:35Z
@gabrieldaimari4390,Very well presented❤,2024-12-08T03:05:21Z
@bellap3134,"Brilliant,  just studying counselling and this fits perfectly,",2024-12-07T10:51:14Z
@renateelankumaran6900,I'd have taken it personally when the audience didn't respond as much as expected,2024-12-07T06:56:56Z
@the_elites_,The last part did hit hard📈,2024-12-07T05:57:36Z
@KarinaRamirez-p6t,Great !!!i can consider it!!! Thank You so much!! Saludos desde Perú!!,2024-12-06T23:57:35Z
@AcroCrystal,"this was amazing, thank you so much",2024-12-06T16:50:56Z
@chrissywissythewishwishfairy,"When people are rude and impolite to you and you are upset by it, it is a perfectly reasonable reaction. We are humans. I am not interested in becoming a stone Buddha. Of course I am relieved that I am not the rude impolite person.",2024-12-06T10:34:05Z
@alexandrac4632,Magnifico! Bravo! Grazie ! ❤,2024-12-04T20:15:24Z
@zealbrown4521,he is belgain i an hear it from his accent,2024-12-04T18:04:37Z
@loveAllaha,"Finally found the best video to solve a problem I am facing, the last partnwas the best where he explained that dobtnforget your worth!",2024-12-04T16:12:46Z
@funkealawode9599,Educative,2024-12-04T06:29:48Z
@graphicsinme,that first logic you said also comes under the term 'delusional',2024-12-03T13:24:49Z
@crissyn,"But if you've been getting rejected your whole life by everyone, that's means something is wrong with you right?",2024-12-02T20:49:18Z
@tinygingervitus,Reminds me of Tim Desmond map to self compassion,2024-12-02T17:15:13Z
@Sabokhat-vr3rp,Yokeeeey bosh aylanib ketti toza havoga chiqib keley keyingi vidyolargacha oğa,2024-12-01T10:48:28Z
@anon_commenter9092,This is one of the best Ted talks I've hear in some time; powerful and effective.,2024-11-30T18:09:12Z
@paridhi404,"""Your value does not decrease because of someone's inability to see your worth.""",2024-11-30T13:11:14Z
@derciorosario3147,it just changed my life,2024-11-29T13:11:43Z
@hasnaaben1555,"Thank you sir, great and helpful advices ! Helped me a lot",2024-11-28T20:34:44Z
@Gfk-f2p,I watch this when i feel i am losing the control on myself n lose into ego . Thanks for such a great video.... Watch it implement it and it works if feel lost come back again. ❤,2024-11-28T18:16:56Z
@monklast9752,Hate the whistle and sports language is annoying.,2024-11-28T16:36:32Z
@toloproduct,"Anyone struggling with mental illness can find Hope and Faith though Christ. Please Trust in Jesus and avoid all 7 cardinal sins -- this is the Ultimate way to spiritual healing through God. Many of us feel the need to please and succumb to societal pressure and get locked in the hamster wheel of life. If you're not practicing the seven heavenly virtues, you are going to be much more susceptible to spiritual pain. Ask God what you can do to help the world -- not follow societal norms. God loves you and you must love yourself in order for him to help you.",2024-11-28T14:04:41Z
@cortneyflowers8179,the ringing in this recording was painstaking,2024-11-27T20:04:35Z
@GameTime-yj6qv,Love the demonstration he did at the end with the money to show that you still keep your value regardless of what is said or done to you.,2024-11-27T19:39:20Z
@Fahim_md,Best way to improve speaking & listening modules 😊,2024-11-27T18:28:15Z
@pruthvirajpethe4988,Dollar 20 is a dollar 20 😂,2024-11-27T06:23:57Z
@ChelseaCollie,Thank you,2024-11-26T17:30:11Z
@MetsukiR,This is marvellous.,2024-11-25T22:11:22Z
@tamnguyenthanh6222,Genius!,2024-11-25T00:46:16Z
@ishaansinghyadav970,but what about the truth,2024-11-24T22:38:40Z
@kameshvkp1021,"Wow,if anything hurts you, ignore,critizize whatever happens our value can't change...wow terrific speech 🎉",2024-11-24T08:12:04Z
@palesamtshaisa,I'll come back and finish this😢,2024-11-22T12:10:14Z
@lalida93,Thank you. It’s been more than 3 months doubting myself. I can breathe now.,2024-11-20T19:04:54Z
@iralumbanbatu9525,I love all the messages you have in your speech,2024-11-20T06:27:54Z
@alialwi876,Don't take it personally if a dog is barking at you. The dog is used to bark at strangers.,2024-11-20T01:36:36Z
@user-yi9cg8hv4s,"I'm here listening in November of 2024! A GREAT topic and delivery, so fit my situation with a boss who knows nothing about confidently or professionalism..",2024-11-19T17:19:06Z
@cesarsampaio4598,"Thank you Frederick, I had to hear that! Also I'll always keep my value!",2024-11-19T10:03:03Z
@emmanuelokechukwu2600,Can't believe I'm watching this in the year November 19 2024 😢,2024-11-19T07:58:17Z
@jaimesalgadoakajaime_the_d7537,Great information I think it’s worth learning about this topic ❤,2024-11-17T21:46:06Z
@Abdullooh_7,2024 who are watching🎉,2024-11-17T09:33:05Z
@Star-44ZW,am here😂,2024-11-17T07:59:21Z
@Seain527,I rarely listen to ted talk but this one hits me hard,2024-11-16T23:12:54Z
@nikhil.4june2003,"Something i always remember, not to take thing personally. Salute for such a motivation ❤",2024-11-16T16:23:47Z
@周小雨-h9r,"This talk makes me feel peace,it taught me how to percive my inner feelings and the skills to make me happy.",2024-11-16T06:56:33Z
@Windrunner7,This video,2024-11-16T03:46:50Z
@koroshrahimi1194,"one of the greatest TED talks, I've ever heard that helped me in life❤❤",2024-11-16T02:16:06Z
@fasttracky8162,"Damn, he really gave us the best advice with the last sentance❤",2024-11-15T01:49:19Z
@alfredy.634,The ads while watching this 😂,2024-11-13T16:03:53Z
@therealsandraweise,Personalizing other people living their life will always baffle me. I thought this whole talk was satire.,2024-11-13T13:04:13Z
@julyinnyc,Wow,2024-11-13T12:22:35Z
